Accession;Description;Master;Abundance: F1: 128N, Sample, Alagille Syndrome;Abundance: F1: 130C, Sample, Alagille Syndrome;Abundance: F2: 130N, Sample, Alagille Syndrome;Abundance: F3: 127N, Sample, Alagille Syndrome;Abundance: F3: 129C, Sample, Alagille Syndrome;Abundance: F4: 126, Sample, Alagille Syndrome;Abundance: F4: 129N, Sample, Alagille Syndrome;Abundance: F1: 127C, Sample, Biliary Atresia;Abundance: F1: 130N, Sample, Biliary Atresia;Abundance: F2: 127N, Sample, Biliary Atresia;Abundance: F2: 129C, Sample, Biliary Atresia;Abundance: F3: 129N, Sample, Biliary Atresia;Abundance: F4: 128C, Sample, Biliary Atresia;Abundance: F4: 131N, Sample, Biliary Atresia;Abundance: F1: 126, Sample, Control;Abundance: F1: 129N, Sample, Control;Abundance: F2: 128C, Sample, Control;Abundance: F2: 131N, Sample, Control;Abundance: F3: 128N, Sample, Control;Abundance: F3: 130C, Sample, Control;Abundance: F4: 130N, Sample, Control;Abundance: F1: 131N, Sample, DAAT;Abundance: F2: 128N, Sample, DAAT;Abundance: F2: 130C, Sample, DAAT;Abundance: F3: 127C, Sample, DAAT;Abundance: F3: 130N, Sample, DAAT;Abundance: F4: 127N, Sample, DAAT;Abundance: F4: 129C, Sample, DAAT;Abundance: F1: 131C, Control, IS;Abundance: F2: 131C, Control, IS;Abundance: F3: 131C, Control, IS;Abundance: F4: 131C, Control, IS;Abundance: F1: 127N, Sample, PFIC;Abundance: F1: 128C, Sample, PFIC;Abundance: F1: 129C, Sample, PFIC;Abundance: F2: 126, Sample, PFIC;Abundance: F2: 127C, Sample, PFIC;Abundance: F2: 129N, Sample, PFIC;Abundance: F3: 126, Sample, PFIC;Abundance: F3: 128C, Sample, PFIC;Abundance: F3: 131N, Sample, PFIC;Abundance: F4: 127C, Sample, PFIC;Abundance: F4: 128N, Sample, PFIC;Abundance: F4: 130C, Sample, PFIC
P05546;Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3;Master Protein;3210,8;2919,9;4989,2;6565,6;6605,7;6566,4;3883,9;3108,8;3778;3590,3;3403,7;3180,7;4796;3934,2;1940;2854,5;1982,3;2275,1;1963,8;1650,1;2618,6;3936,6;4462,7;4267,3;3425,9;4459,3;4696,1;4580,6;3484,2;3293,7;3802,3;3691,3;4077,7;3744,1;6551,6;3559,6;3581,4;2994,2;5286,5;5194,1;3566;5557,5;5613,2;5462
Q96I24;Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2;Master Protein;3436,1;2556,4;2656;1830,7;2456,9;2421,1;3106,8;2364;2121;2878,4;2922,4;2244,2;3069,5;3164,1;2530,3;2923,8;3023,1;3323,9;2169,7;2588,2;3376,8;850;2191,1;1431,8;1947,1;1958,9;2501,4;3038,4;2575,1;2558;2262,5;2974,8;2699,1;2715,3;2142,5;2647,6;2874,1;3041,9;2196,3;2720,3;2994,6;3662,1;3198,3;3605,5
P62851;40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1;Master Protein;5629;4373,9;3704,6;3601,8;4194,3;3871,5;4715,5;4807,8;3792,2;4899,1;4382,5;4079,6;5666,4;5226,7;5198,8;6557,8;5450,4;5724,7;4377,3;4475,8;5272,8;1346,8;3256,3;2150,4;3349,1;3460,7;5002,3;5280,2;5032,1;4049,7;4066,3;5267,3;5621,8;5005;4049,2;4536,4;4751,9;4045,4;4501,2;4913,4;5138;5888,8;5711,4;6827,2
O15230;Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8;Master Protein;2548,8;2258,4;2518,6;4025,2;3077,3;4863,6;3340,7;2051,1;2173,5;3684,1;2498,6;2860,4;4103,2;3466,1;1713,8;2050,3;2370,5;2270,1;3493,3;4079,3;4317,6;1214;2432,8;1669,1;2491,5;2275,5;3208,9;3694,3;2493,9;2413,1;3318,8;4028,3;2678,6;2557,8;2610,4;2344,4;2172,1;3132,5;6326,6;4480,3;5646,5;4622;7758,4;5690,3
P16083;Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens OX=9606 GN=NQO2 PE=1 SV=5;Master Protein;5131;4535;4496,7;2363,1;5284,8;2243,1;3885,1;2627,9;2310,2;3333;2299,8;2631,8;1992,1;3605,6;2744,8;5894,7;1986,4;3846,8;4203,8;4614,8;2382,3;1616,9;3312,8;1962,7;2968;4033,9;2273,5;2463,3;3377,9;2832,3;3157,8;3120,2;3601,9;3745,9;3289,3;3154,2;2693,6;4385,8;4106,2;4728,5;2655,3;2281,6;3452,5;2667
Q07960;Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1;Master Protein;4617;5361,2;3376,8;4799,2;5715,7;5417,4;4348,3;4145;4264,7;4674,9;4053,5;5289;7079,3;5110,3;3357,6;4321,4;3050,7;3517,9;4390,9;4968,5;4353;1180,1;3124,3;1866,3;5034,6;4903,5;3909,7;7023,3;4434,5;3297,7;5124,2;4483,9;4329,1;5473,5;3682,5;3196,9;3570;3412,4;6501,1;5794,6;7495,2;5516,6;7033,3;4552,4
Q9Y696;Chloride intracellular channel protein 4 OS=Homo sapiens OX=9606 GN=CLIC4 PE=1 SV=4;Master Protein;5356,5;4193,8;2569,6;2710,8;3091,8;2661,7;2596,3;3656,2;3354,4;3475;2836,9;2690,1;2967,7;2644,3;3506;3940,4;2595,4;2707,8;2777,9;3112,9;3034,4;2202,8;3110,1;2161,6;2463,4;2589,5;2573,3;3589,3;4111,2;2512,7;2544,8;2597,8;4075,7;4287,3;3908,6;2320;2463,8;2993,4;3432,8;3240,3;3621;3699,1;4518,5;2939,7
P62266;40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3;Master Protein;2919,4;2639,2;2731,7;2882,4;3297,6;2278,9;3058,4;2422,8;1994,8;3255,3;2990,6;3519,7;3258,4;3046,3;2528,9;3274,9;3714,1;3768,4;4051,6;4145,1;3770,4;859,6;2333,9;1794,2;2790,1;2694,5;3162,8;3175,7;2469,9;2778,4;3478,3;3082,4;3073;2579,3;2166,3;3054,6;3217,8;2850,7;3564,4;4240,4;4252,9;3500,9;3310,2;4139,3
Q16666;Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3;Master Protein;2291,4;2228;2063,8;4273,2;3624,7;5464,2;3789,8;1997,3;2314,6;3097,2;2412,4;4302;5049;3621,1;1517,5;1781,2;1722,8;1913,6;3308,7;2912,7;3103,3;1771,1;3035,7;2008,7;3177,4;3207,7;3621,3;6249,4;2806,7;2121,6;3788,9;3852,6;3945,6;3193,5;3552,5;2270,6;2152,6;2205,2;5425;4532,6;5584,4;3688,7;6980,8;4906,7
Q9UHL4;Dipeptidyl peptidase 2 OS=Homo sapiens OX=9606 GN=DPP7 PE=1 SV=3;Master Protein;2462,8;3085;2513,1;3084;4437,2;3011,6;3111,8;2028,2;2412,5;2386,2;1628,9;3194,3;3891,5;3117,7;1462,1;1975,7;1457,3;1436,3;3006,1;2612,3;2648,8;750,4;1616,1;1058,5;2521,5;2405,5;3660,4;3081,5;2337,5;2001,3;3076,3;2856,2;2816;2614,6;2537,8;3169;2563,4;2636,4;2987,7;4686;4775,2;3481,4;5414,5;2148,3
P10155;60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2;Master Protein;4120,7;3866,5;3264,9;4206,1;4589,5;4476,9;3946,3;3140,1;2960,6;4430,7;3981,8;5005,4;4899,8;4386,3;2784;3341,4;3504,5;3427,2;3945,9;4278,6;4101,4;1346,2;3508,7;2640,3;3604,5;3946,8;4032,4;5641;3635,4;3448,8;4373,9;4314,4;4749,9;3855,8;3153;3656,9;3858,5;3983,8;5584,7;5665,2;6507,2;5297,9;6013,5;5721,5
O14979;Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;Master Protein;3359,1;2575,3;1848,1;2028,5;2006,8;2463,6;2243,6;2827,7;2502,7;2950,1;2506,4;2157,1;2857,6;2461;2645,5;2817,6;2266;2412,1;2118,4;2198,3;2680,1;1156,6;2156,8;1294,4;1672,3;1744,6;2029,6;3168,7;2991,2;2022,2;2122;2241,7;3090,5;3201,7;2968,1;2057,7;1987,8;2215,1;2828,7;2791,1;3211,6;2888;3521,1;2912,8
P19827;Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3;Master Protein;3229,3;2644,6;4122,8;4943,2;5466,2;4339,1;2067,7;2689,8;2972,9;4019,5;3776,6;3455,6;3094,1;2624,9;1941,2;2446,9;2683,3;3254,4;2892,5;2509,7;2129,3;1887,5;3014,8;3056,5;2940,4;3822,8;2301,8;2496,1;2941,9;3315,7;3575;2496,2;3027;3161,3;4144,4;3243,3;3483,5;3255,9;3976,9;4035,5;3946,5;3151,8;3229,1;3101,1
O95336;6-phosphogluconolactonase OS=Homo sapiens OX=9606 GN=PGLS PE=1 SV=2;Master Protein;4163,5;4416;3271,8;2470,5;4012,3;2536,5;2822,5;3842,8;2600,8;4327,4;4414,2;3667,4;4501,4;3658,4;3585,8;3727,6;3998,2;4919,7;2996,9;3328,9;3082,9;1551,5;2356,3;1431,8;3101,9;3529;2191,6;2858;3545,8;3487,2;3245,6;2982,6;2962,7;4524,5;2418,2;3276,5;3644,2;4165,3;3295,6;3872;4947,2;4595,1;4216,8;3313,6
P61353;60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2;Master Protein;7392,6;6885,7;3802,9;3165,6;4178,5;3117,8;4005,4;6372,5;4843,7;4572,8;4493,5;4240,6;4395,8;3871,8;7237,7;7612,2;5778,7;5663;5511,5;5196,5;4715;2198,5;2895,6;1658,6;3582,1;3534,2;3791;4418,8;6119,7;3736,2;3952,5;3801,5;5985,2;6464,3;4173,4;4079,9;4661;4195,5;3648,8;4570,3;4878,1;4512;3963;4544,1
P11168;Solute carrier family 2, facilitated glucose transporter member 2 OS=Homo sapiens OX=9606 GN=SLC2A2 PE=1 SV=1;Master Protein;5995,4;3630,8;3365,8;2169,1;4856,7;1806,2;5450,9;4031,1;2577,1;4394,2;3725,2;1875,1;1522,4;5819,6;4346,8;4215,9;5710,7;3322;5622,8;4513,4;6758,1;674,7;2226,4;1084,3;4477,1;3978,2;1933,2;2281,3;3492,1;3303,4;3441,4;4093,7;2255;3150,2;1958,2;2895,9;3783;5934;2459,3;2336,5;4423,1;8164,5;1785,4;2692,3
Q6P2I3;Fumarylacetoacetate hydrolase domain-containing protein 2B OS=Homo sapiens OX=9606 GN=FAHD2B PE=1 SV=1;None;4809,9;4037;2922,3;2151,7;4743,3;1851,2;3697,7;3737,4;2306,3;2636,2;3425,3;3169,3;2801,2;3709;5661,4;4159,4;5041,8;4593,6;4608,4;5605,5;5132,1;973;1845,2;1114,9;3291,2;2985,1;2270,1;1927,4;3280,8;2999,2;3552,6;3246,6;2378,3;3289,7;1789,7;2697,2;3200,7;3958,4;2659,4;3224,7;3113,5;4718,1;2436,1;3032,1
Q9UJ83;2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens OX=9606 GN=HACL1 PE=1 SV=2;Master Protein;9893,7;5165,6;3135,1;3293,5;6571,3;2429,5;4684,4;5830,1;3385,2;2836,7;4218,4;4051;5256,8;4480,5;5434,1;5382,9;4254,6;4724,1;4618,4;4900,4;4713;1389,3;4358;1979;4718,2;3276,2;5149,6;4168,8;4729,4;3627,9;3994,6;4274,1;4922,4;4461,2;2815,8;3037;3934,4;3982,4;3493,3;4005,6;4860,1;6369,1;4326,9;3909,3
Q9NTJ5;Phosphatidylinositol-3-phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=2;Master Protein;5813,2;5041,9;3366,4;2454,1;3496,7;2601,6;3997,3;4401,5;3640,3;4053,2;3640,1;2753,9;3512,7;3792,3;4491,9;5210,5;3628,2;3603,1;3026;3586,5;4120,5;1887,8;2871;2044,1;2809;2454;2812,4;3305,5;4528,7;3136,7;2852,9;3398,7;5154,2;4788,5;4142,3;3503,9;3592,5;3782,3;2630,3;3096,3;3804,7;4197,6;3321,7;3552
P19404;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV2 PE=1 SV=2;Master Protein;2906;2347,2;2021,9;2003,1;2505,5;1649,8;2490,4;2205,5;1773,9;2267,6;2221,8;2321,6;2216,5;2062,4;2128,1;2676,7;2806,2;2632,4;2705,6;2639,5;2660,2;903,2;1847,7;1221,1;2351,8;2064;2324,4;1969,2;2102,1;2090,5;2192,3;2315,4;2515,8;2434,7;1867,8;2378,3;2575,1;2097,6;2359,7;2701,8;2825,1;2820,4;2464,9;2342,4
O15173;Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1;Master Protein;8218,7;5718,7;5535,5;2695,7;5548,1;2750,2;5573,8;6126,6;3415,6;5318,6;6156,7;2841,3;4146,9;5303,4;6645,9;5910,5;7029,8;6975,1;4259,9;5068,6;6664,8;1199,4;4188,7;2454,7;3775,7;3730,1;3055,5;3162,4;5081,1;5540,1;3729,5;4723,6;5153,2;5686,9;3710,5;5413,6;5877,3;9102,1;2981,5;3719,4;5114,1;7200,1;3498,6;4590,9
Q9HCE1;Helicase MOV-10 OS=Homo sapiens OX=9606 GN=MOV10 PE=1 SV=2;Master Protein;4793,7;3806,1;2713,3;3080,4;4806,1;1677,9;2116,6;3709,6;2938,6;3080,1;3321,3;4071,7;2567,3;2220,7;3469,2;4206,1;3436,3;3430,2;4154,3;4322,8;2399;1205,7;2256;1528,6;3504,1;3509,3;2096,7;2094,6;3443,2;2770,3;3714,7;2135,4;3658,9;3593,6;2757,9;2995,2;3327,7;3677,9;3448,4;4256,2;4415,1;2554;2438,4;2424,6
Q8NE71;ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;Master Protein;4751,2;3427,9;3870,5;4812,6;5156,3;4021,9;4119,4;3516,7;2990,5;4573,2;3673,7;4514,2;4605,3;3944,1;3508,4;4438,1;4346,1;4560,5;4372,6;4582,2;4053,2;1337,9;3572,5;2705;4009,1;3881,3;4050,8;4824,7;3825;3689,8;4467,9;4202,5;4599,8;4006,8;3245,7;4625,4;4652,1;4032,3;5258;5689,4;6136,3;4765,1;5499,2;5329,8
P46779;60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3;Master Protein;8199,3;6887,9;4246,5;5194,1;6761,4;4413,9;5511,8;6720,9;5217;5475,8;4928;6267,6;6089,4;5495,6;7440,3;8787,4;6166,9;6301,4;8422;7852,7;6668,3;1956,4;3436,9;2213,3;5117,6;5260,9;5229,9;5611,2;6620,3;4180,6;5844,3;5355,4;8241,5;7157,1;5608,2;4738,9;4969;4935;6635;7514,6;7666,9;6594,1;5926;7317,1
Q9GZV4;Eukaryotic translation initiation factor 5A-2 OS=Homo sapiens OX=9606 GN=EIF5A2 PE=1 SV=3;None;5203,8;4474,1;3508,8;4312,5;3883,3;3088,1;3255,1;3882;3577;4059,8;3728,8;3841,4;4132,7;3362;5006,7;6035,1;4918,5;5134;7062,8;4918,5;4030,8;2002,6;4241,2;3411,8;3306,7;3122,8;2724,4;3400,6;4932,6;3736,5;3955,9;3434,6;5270,5;4873,2;4142,5;3139,3;3209;3652,1;4842,3;4980,9;5334,9;3886,1;5908,4;4565,3
Q9UBX5;Fibulin-5 OS=Homo sapiens OX=9606 GN=FBLN5 PE=1 SV=1;Master Protein;2232,2;2753,4;2954,6;5299,5;4614,3;8206,6;3387,3;2451,7;4449,5;4308,4;2489,7;4525,2;6004,3;3918,5;1696,8;1819,1;1563;1440,8;2504,9;2629,7;2772,1;2044,5;2538,6;2326,7;3756,6;3047,7;3759,6;5662,2;3800;2538,8;3973,9;3603,8;4105,4;4501,5;3762;2192,4;1755;2326,8;9328,4;5335;9245,1;2904,7;10535,3;4794,4
P07741;Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2;Master Protein;4692,1;4529,2;2635,7;2911,5;3063,5;1961;2194,6;3593,7;3050;3003,8;3283,5;3334,2;2545,2;2649,5;3966,2;4707,4;2995,3;3432,8;3546,9;3358,4;2690,1;996,3;2145,1;1142,7;2568,6;2548,5;2016,6;2680,7;3881,8;2570,7;2837,9;2297,2;3984,3;4273,3;2954,7;2861,4;2997,2;2939,1;3466,5;3669,3;4117,2;3139,5;3680,5;3065
Q7Z3Y7;Keratin, type I cytoskeletal 28 OS=Homo sapiens OX=9606 GN=KRT28 PE=1 SV=2;None;3356,2;3607,1;2862,3;2686,9;1982;3439,8;2360,8;2580,8;2826,5;3456,8;3351,6;3845,4;2927,6;3006,1;3024,9;2382;2163,7;2344,7;2001,6;2496,2;3293,4;2698,9;3283,6;3413,4;3053,1;2080,5;2449,8;14201,5;3599,7;3733,9;3370,9;3625,3;3957,8;3522,3;11786,2;1884,7;2047,8;4013,2;3607,9;8143,5;2878,3;3073,8;3302,4;4331,4
P57721;Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=2;Master Protein;141,1;102,2;;;;;;109,2;86,9;;;;;;89,3;111,4;;;;;;207,7;;;;;;;100,5;;;;109,1;111,4;103;;;;;;;;;
Q07666;KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1;Master Protein;5825;5105,5;4172,5;4634,6;5015,7;4479,5;4247,9;4403,5;4150,3;6101,1;5009,2;5055,2;5457,5;4454,1;3811,9;4815;3897,9;3970,5;3775,8;4362,9;4114,2;1338,5;4162,5;2156,5;3889,2;4029,4;3841,3;6120,8;5125,4;4151,9;4561;4311,8;5102,3;5752,9;4073,1;4493,1;4913;4859,6;6258;5963,4;7102,3;5859,9;6384,3;5531
Q86UX7;Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1;Master Protein;3461,7;3825,1;2337,8;2703,2;2531,7;4120,5;3601,2;3076,7;3833,8;2727;2528,9;2533,6;3613,7;3196,1;2676,8;3555,6;2064,1;1972,2;2405,4;2133,7;2719,7;2351;2110;2107,4;1970,9;1863,4;3446,5;4202,7;3563,4;2215,8;2450;3156,5;4920,9;4229,8;4174,8;2468,7;2320,3;2457,2;2640,5;2836,9;3579,5;3201,8;4581,6;3932,7
Q9H479;Fructosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3K PE=1 SV=1;Master Protein;4693,6;3582;3789,1;2697;3529,9;2785,8;3864,5;3131,6;2513,5;3370,4;3897,8;3767,3;3730,4;3809,6;3415,3;3239,9;3605,4;3572,2;3296,9;3634,1;3778,7;872,5;2592,3;1755,4;2854,3;2934,5;2953,9;2833,7;3261,5;3355,2;3223,8;3575,6;3968,3;3898,3;2627,4;3512,9;3897,1;4691,2;3440,9;4934,3;4648;5101,7;3569,3;4898,6
P61011;Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1;Master Protein;6983,5;5498,2;3026,6;2872,9;3884,9;2384,9;3446,8;5450,8;4264,9;3624,8;3544,3;3676,1;3910,3;3137,9;5602,9;6236;4136,1;3779,6;3738,5;3984,5;3771,4;1889,8;2460,3;1764,6;3080,7;3080,1;3274,5;3240,7;5572;3125,5;3286,7;3202,5;5866,6;5746;4133,3;3440,3;3616;3503,9;3539,5;3949,9;4256,2;3802,4;3581;3825,9
Q9Y512;Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3;Master Protein;4734,3;3995,1;2528,9;2800,6;3726,5;2278,4;3406;4014,2;3359,7;3542,3;3935,6;4161,7;3779,5;3490,2;3146,9;3484;2680,6;2676,7;2992;3202,3;4208,9;1011,1;2654,9;1669,2;2986,4;2714,2;3319,3;2980,7;3594,1;2714,1;3238,7;3145,2;4152,3;4313,4;2945,5;3213,6;3414,1;3339,6;3964,8;4296,1;4608,8;4174;3679,6;4068,6
Q8TD30;Alanine aminotransferase 2 OS=Homo sapiens OX=9606 GN=GPT2 PE=1 SV=1;Master Protein;1805,4;1504,3;652,7;1568,9;1836,1;1197,6;1629,5;2031,5;1531,6;999,8;1464,8;2248,9;3629,1;1840,7;1020,7;1078,5;720;883,9;1610,6;1494,1;1544,7;664,3;811,6;411,6;1870,9;1848,5;2735,9;2069,3;1606,8;876,2;1744,4;1818,7;1813,1;1452,5;1317,9;781,4;958,8;793,9;2272,7;2181,8;2550,1;2283,3;2842,6;2004,6
O00567;Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;Master Protein;3559;3289,2;2734,7;3581,8;3881,4;3422,2;3277,6;2827,1;2536,8;3668,4;3379,2;4527,3;4141,6;3501,1;2901,8;3286;3094,9;3314,4;3591,9;4109,2;3683,9;971,3;2731,8;1625,4;3487,4;3532,3;3400,9;4110,7;3275;3039,8;3926,3;3426,2;3070,9;3430;2643,5;2959,8;2957,6;3128,8;4929,8;4986,6;5619,8;4133,3;4735,5;4545,5
P30419;Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2;Master Protein;4983,3;3999,2;3234,8;3572,6;4063,2;2105,7;2584,9;3417,6;2768;3822,2;3701,3;3798,3;2660,8;2537;3449;4539,3;4353;4187,5;4072,2;4168,9;2757,7;1295,2;2915,7;2155,9;3456,7;3377,2;2516;2652;3730,3;3393,5;3817,6;2517;4359,6;3904;3001,2;3526,1;4001,7;3996,8;4120,7;4393,1;5118,3;2946,3;3100,8;2959,9
Q9P2R3;Rabankyrin-5 OS=Homo sapiens OX=9606 GN=ANKFY1 PE=1 SV=2;Master Protein;5747;4639,3;3290,5;3269,8;3934,7;2802,8;3371,5;4250,1;3820,3;4317,8;3766,7;3783,3;3844,6;3090;4449;4904,2;4207,2;3797,3;3690,7;3844,8;4261,7;1704;3578,2;2296;3252,5;3293,1;3011;3094,3;4571,5;3499,2;3683,9;3348,7;5445,5;5210,6;4126,9;3834,1;3956;3841,4;4308,9;4738,1;5280,9;3935,6;3962,1;4128
P22090;40S ribosomal protein S4, Y isoform 1 OS=Homo sapiens OX=9606 GN=RPS4Y1 PE=1 SV=2;Master Protein;196,5;404,9;717,9;1031,8;891,6;2941;1700,5;347,4;127,1;949,5;1818,6;768,5;1935,9;3898,3;140,8;411,7;729,1;2187,6;1044,5;1618,8;4688,3;113,9;1524,1;1007,2;1111;632,5;1553,2;4074,3;217,6;1152,4;924,7;2606,4;161,1;168,2;138,2;796,5;2009,8;757;801,4;913,8;1684,7;3900,7;2289,7;2269
Q9HCS2;Cytochrome P450 4F12 OS=Homo sapiens OX=9606 GN=CYP4F12 PE=1 SV=3;Master Protein;1278,6;1006,5;774,1;1164,1;2001,7;632;734,7;1846,2;787,9;664;992,5;1603,4;1288,9;1237,9;1076,3;832;987;779,2;2104;2110,8;1117,1;409,3;599,3;488,1;1438,2;1401,6;1053,9;1018,3;1057,7;834,3;1506,8;905,9;1557,5;1365,3;929,7;1019,8;737;1114,5;1051,5;1673,1;1623,2;911,3;865,3;926,8
P26885;Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2;Master Protein;3331,5;3259,5;2268,5;3860,9;4803,4;1976,5;2929,1;2726;2157,5;2699,5;2809,7;3543;2960,7;2716,1;3128,3;3512,8;2928,3;3442,3;4562;5253,2;3380,7;958,2;1801,1;1217,6;3986,6;3575,5;2245,2;2257,2;2917,7;2359,7;3920,4;2677,7;2997;3015,3;2412,3;2209,4;2292,1;2956,7;3998;4643,4;5413;3140,1;3322,5;2869,5
A6NEC2;Puromycin-sensitive aminopeptidase-like protein OS=Homo sapiens OX=9606 GN=NPEPPSL1 PE=2 SV=3;None;3767,4;3719,4;3097,9;2677,4;3064;3868,1;3865,5;2834,1;2659,2;4213,2;3521,2;3044,4;4609,1;4297,9;2917,5;3960,8;3418,8;3667,5;2806,6;2941,7;4652;962,1;3066,6;2065,7;2335,3;2512,8;3513,1;5240,3;3492;3144;2815,3;3906,7;3652,1;3910;2987,3;3296,9;3410,1;3452,4;3508,1;3413,6;3814,7;4340,1;5499,5;4560,2
Q9Y265;RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1;Master Protein;3242,6;2771,9;2613,6;2586,6;2955,4;2753,1;2827;2464,9;2541,4;3306,3;2844;3129;3480,9;2928,4;2125,7;2889,6;2801;2890,4;2569,5;2596,7;3071,8;1467,8;2610,3;1586,1;2520,4;2446;2838;3730,2;2710;2474,8;2642,6;2818,7;3284,3;3110;2768,8;2651,4;2827,5;2834,4;3336,3;3357,4;3603;3577,3;3980,6;3629,2
O76031;ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2;Master Protein;5124,1;3871,3;3978,5;2311,4;3408,6;2359,4;3256,8;3707,3;3106,7;4099,5;4987,4;3060,7;3907,5;3527,2;3513;4106,2;4240,4;4499,8;3042,9;2923,8;3978,9;1271,7;3183,9;2537,2;2670,6;2637,8;3661,8;3335,9;3854;3852,5;2819,3;3318,1;4405,1;3864,4;3246,8;3780,2;4332;4648,5;2868,9;3771,4;3428,4;4218,5;3775,3;4318,8
Q6PGP7;Tetratricopeptide repeat protein 37 OS=Homo sapiens OX=9606 GN=TTC37 PE=1 SV=1;Master Protein;5274;4551;3556,5;2453,5;3047,9;3566,8;3642;4154,1;3730,9;3875;3782,1;3149,5;4218,2;3864,7;3735,9;4474,1;3714,7;3781,1;2790,8;2789,5;4118,6;4381,9;2972,7;2299,4;2446,8;2212,2;3673;3959,9;4440,6;3360,6;2796,6;3829,6;5312,4;4845,4;4219,7;3276,2;3625,8;3628,3;3257,8;3445;4127;4645;4674,8;4989,6
Q92734;Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2;Master Protein;5178,2;3953,6;2328;1987,2;2443,8;2219,7;2785,7;3330;2742,6;2819;2661,8;2210,4;3552,5;3242,1;3454,1;3967,6;2890,6;2737,2;2262,3;2464,5;3473,9;1083,9;2115,5;1686;2230,3;2084,1;3084,7;3068,9;3623,1;2420,1;2229,2;3046,2;4056,2;3947;3218,5;2584,5;2906,1;3114,1;2279,6;2509,9;2984,5;4618,8;3514,8;3695,3
P11171;Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=4;Master Protein;5227,6;3975,3;3510,1;3320,8;5088,9;3748,5;3890,9;4135,9;5501,2;3303,1;3684,6;3584;4183;3732,4;3415,3;4489,5;3312,4;3435,7;3258,9;3373,7;3858,5;2897,9;3176,3;2468,8;3600,2;3526,1;4085,1;3586,5;4200,6;3255,7;3594,4;3756,9;4270;4235,6;3997,3;3248,4;3421,8;3546,9;4115,5;3953,3;3797,8;4564,1;4115;5604,8
P61513;60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2;Master Protein;3973;3579,9;2769,2;4152,5;5022,8;4614,2;4872,4;3487,3;2068,7;2848,4;2590,3;4498;5128;3415,9;6112,3;4151,1;5721,4;5029,2;4038,4;6381,4;5454,8;935,2;2206,5;1248,6;2831,8;2882;3448,3;3595,3;3811;2796,5;4451,5;4020,5;3463,9;3147,5;2177,2;2222,5;2354,6;3882,6;5576,8;5757,8;6664,1;4438,7;5546,4;5050,4
